"u_nazwa","u_stocznia","u_wrak","u_typ"
"German submarine U-964","Blohm + Voss","Point(-28.2833 57.45)","Okręty podwodne typu VIIC"
"U-978",,"Point(-10.08333333 55.83333333)","Okręty podwodne typu VIIC"
"V80","Friedrich Krupp Germaniawerft",,
"U-214","Friedrich Krupp Germaniawerft","Point(-3.5 49.96666667)","Okręty podwodne typu VIID"
"U-3514",,,
"U-1062",,"Point(-34.73333333 11.6)","German Type VIIF submarine"
"U-1102",,"Point(-9.58333333 56.06666667)",
"SM U-100","AG Weser",,
"SM U-101","AG Weser",,
"SM U-104","AG Weser","Point(-6.43333333 51.98333333)",
"SM U-107","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"SM U-109","Friedrich Krupp Germaniawerft","Point(1.51666667 50.88333333)","okręty podwodne typu  U 93"
"SM U-111","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"SM U-112","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"SM U-113","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"SM U-114","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"SM U-119","AG Vulcan Stettin",,"okręty podwodne typu UE II"
"SM U-120","AG Vulcan Stettin",,"okręty podwodne typu UE II"
"SM U-121","AG Vulcan Stettin",,"okręty podwodne typu UE II"
"SM U-122","AG Vulcan Stettin",,"okręty podwodne typu UE II"
"SM U-123","Blohm + Voss",,"okręty podwodne typu UE II"
"SM U-124","Blohm + Voss",,"okręty podwodne typu UE II"
"SM U-125","Blohm + Voss",,"okręty podwodne typu UE II"
"SM U-136","Kaiserliche Werft Gdańsk",,
"SM U-153","Reiherstieg Schiffswerfte & Maschinenfabrik",,"okręty podwodne typu U 151"
"SM U-154","Flensburger Schiffbau-Gesellschaft",,"okręty podwodne typu U 151"
"SM U-157","H. C. Stülcken Sohn",,"okręty podwodne typu U 151"
"SM U-160","Bremer Vulkan",,"okręty podwodne typu  U 93"
"SM U-161","Bremer Vulkan",,"okręty podwodne typu  U 93"
"SM U-163","Bremer Vulkan",,"okręty podwodne typu  U 93"
"SM U-162","Bremer Vulkan",,"okręty podwodne typu  U 93"
"SM U-164","Bremer Vulkan",,"okręty podwodne typu  U 93"
"SM U-151","Reiherstieg Schiffswerfte & Maschinenfabrik",,"okręty podwodne typu U 151"
"SM U-165","Bremer Vulkan","Point(8.88333333 53.16666667)","okręty podwodne typu  U 93"
"SM U-167","Bremer Vulkan",,"okręty podwodne typu  U 93"
"Niemiecki okręt podwodny U-80","Bremer Vulkan",,"okręty podwodne typu UE I"
"Niemiecki okręt podwodny U-82","Friedrich Krupp Germaniawerft",,
"Niemiecki okręt podwodny U-84","Friedrich Krupp Germaniawerft","Point(-5.73333333 51.88333333)",
"SM U-88","Kaiserliche Werft Gdańsk","Point(4.91666667 53.95)",
"SM U-88","Friedrich Krupp Germaniawerft","Point(4.91666667 53.95)",
"SM U-85","Friedrich Krupp Germaniawerft",,
"Niemiecki okręt podwodny U-89","Kaiserliche Werft Gdańsk",,
"Niemiecki okręt podwodny U-89","Friedrich Krupp Germaniawerft",,
"SM U-83","Friedrich Krupp Germaniawerft","Point(-11.38333333 51.56666667)",
"SM U-90","Kaiserliche Werft Gdańsk",,"okręty podwodne typu U 87"
"SM U-90","Friedrich Krupp Germaniawerft",,"okręty podwodne typu U 87"
"SM U-87","Kaiserliche Werft Gdańsk","Point(-5.11666667 52.93333333)",
"SM U-87","Friedrich Krupp Germaniawerft","Point(-5.11666667 52.93333333)",
"U-92 (1917)","Kaiserliche Werft Gdańsk","Point(-1.5 59.0)",
"SM U-95","Friedrich Krupp Germaniawerft","Point(-5.2 49.98333333)","okręty podwodne typu  U 93"
"SM U-94","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"SM U-93","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"SM U-96","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"SM U-97","Friedrich Krupp Germaniawerft","Point(3.16666667 53.41666667)","okręty podwodne typu  U 93"
"SM U-98","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"SM U-99","AG Weser","Point(30.08333333 58.0)",
"SM UB-107","Blohm + Voss","Point(-0.4 54.3833)","Okręty podwodne typu UBIII"
"SM UB-10","AG Weser","Point(3.2 51.35)","Okręty podwodne typu UBI"
"SM UB-11","AG Weser",,"Okręty podwodne typu UBI"
"SM UB-115","Blohm + Voss","Point(-1.36667 55.2167)","Okręty podwodne typu UBIII"
"SM UB-12","AG Weser",,"Okręty podwodne typu UBI"
"SM UB-13","AG Weser","Point(2.75 51.55)","Okręty podwodne typu UBI"
"SM UB-132","AG Weser",,"Okręty podwodne typu UBIII"
"MS UB-17","AG Weser","Point(2.71666667 57.11666667)","Okręty podwodne typu UBI"
"SM UB-16","AG Weser","Point(2.01666667 52.1)","Okręty podwodne typu UBI"
"SM UB-19","Blohm + Voss","Point(-5.78333333 49.28333333)","Okręty podwodne typu UBII"
"SM UB-20","Blohm + Voss","Point(-3.33333 51.4167)","Okręty podwodne typu UBII"
"SM UB-21","Blohm + Voss",,"Okręty podwodne typu UBII"
"SM UB-23","Blohm + Voss",,"Okręty podwodne typu UBII"
"SM UB-24","AG Weser",,"Okręty podwodne typu UBII"
"SM UB-25","AG Weser",,"Okręty podwodne typu UBII"
"SM UB-26","AG Weser","Point(0.03333333 49.46666667)","Okręty podwodne typu UBII"
"SM UB-27","AG Weser","Point(2.4 52.78333333)","Okręty podwodne typu UBII"
"SM UB-28","AG Weser",,"Okręty podwodne typu UBII"
"SM UB-29","AG Weser","Point(1.76666667 51.15)","Okręty podwodne typu UBII"
"SM UB-30","Blohm + Voss","Point(1.76666667 51.15)","Okręty podwodne typu UBII"
"SM UB-31","Blohm + Voss",,"Okręty podwodne typu UBII"
"SM UB-32","Blohm + Voss","Point(-2.08333 51.75)","Okręty podwodne typu UBII"
"SM UB-34","Blohm + Voss",,"Okręty podwodne typu UBII"
"SM UB-35","Blohm + Voss","Point(1.76666667 51.05)","Okręty podwodne typu UBII"
"SM UB-36","Blohm + Voss","Point(-5.23333333 48.7)","Okręty podwodne typu UBII"
"SM UB-38","Blohm + Voss","Point(1.41666667 50.93333333)","Okręty podwodne typu UBII"
"SM UB-39","Blohm + Voss","Point(-1.33333333 50.33333333)","Okręty podwodne typu UBII"
"SM UB-41","Blohm + Voss","Point(-0.35 54.3)","Okręty podwodne typu UBII"
"SM UB-43","AG Weser",,"Okręty podwodne typu UBII"
"SM UB-43","AG Weser",,"okręty podwodne typu U-43"
"SM UB-42","AG Weser",,"Okręty podwodne typu UBII"
"SM UB-44","AG Weser",,"Okręty podwodne typu UBII"
"SM UB-46","AG Weser","Point(28.58333333 41.43333333)","Okręty podwodne typu UBII"
"German submarine U-706","H. C. Stülcken Sohn","Point(-10.4167 46.25)","Okręty podwodne typu VIIC"
"German submarine U-421","Danziger Werft",,"typu VII"
"German submarine U-421","Danziger Werft",,"Okręty podwodne typu VIIC"
"German submarine U-586","Blohm + Voss",,"Okręty podwodne typu VIIC"
"SM UB-128","AG Weser",,"Okręty podwodne typu UBIII"
"Q15851923",,,"Okręty podwodne typu 206"
"Q15851924",,,
"Q15851925",,,
"SM UB-76","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-51","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-55","AG Weser","Point(1.33333 50.9833)","Okręty podwodne typu UBIII"
"SM UB-60","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-62","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-64","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-67","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu UBIII"
"SM UB-70","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu UBIII"
"SM UB-72","AG Vulcan Stettin","Point(-2.68333 50.1333)","Okręty podwodne typu UBIII"
"SM UB-73","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-77","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-79","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-80","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-83","AG Weser","Point(-1.83333 58.4667)","Okręty podwodne typu UBIII"
"SM UB-86","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-87","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-89","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-91","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-92","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-93","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-94","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-95","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-96","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-97","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-98","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-99","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-100","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-101","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-102","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-105","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-104","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-106","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-108","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-111","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-112","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-113","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-114","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-117","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-118","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-119","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-120","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-121","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-123","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-126","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-127","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-130","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-131","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-133","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu UBIII"
"SM UB-136","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu UBIII"
"SM UB-142","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-144","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-145","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-148","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-149","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-150","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-154","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM UB-155","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"German submarine U-634","Blohm + Voss","Point(-19.4 40.2167)","Okręty podwodne typu VIIC"
"U 3520",,,
"German submarine U-1274",,"Point(-1.4 55.6)","German Type VIIC/41 submarine"
"German submarine U-1172",,,"German Type VIIC/41 submarine"
"German submarine U-1064",,,"German Type VIIC/41 submarine"
"German submarine U-1106",,,
"German submarine U-1303",,,
"U-1410",,,
"Q22968559",,,
"German submarine U-4707",,,
"SM UB-48","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-47","AG Weser",,"Okręty podwodne typu UBII"
"SM UB-47","AG Weser",,"okręty podwodne typu U-43"
"SM UB-50","Blohm + Voss",,"Okręty podwodne typu UBIII"
"SM UB-6","Friedrich Krupp Germaniawerft","Point(3.96666667 51.88333333)","Okręty podwodne typu UBI"
"SM UB-68","Friedrich Krupp Germaniawerft","Point(16.33333333 33.93333333)","Okręty podwodne typu UBIII"
"SM UB-7","Friedrich Krupp Germaniawerft","Point(33.25 44.5)","Okręty podwodne typu UBI"
"SM UB-85","AG Weser","Point(-5.38333333 54.78333333)","Okręty podwodne typu UBIII"
"SM UB-9","AG Weser",,"Okręty podwodne typu UBI"
"SM UC-25","AG Vulcan Stettin",,
"SM UC-4","AG Vulcan Stettin",,"okręty podwodne typu UC I"
"SM UC-44","AG Vulcan Stettin","Point(-6.98333333 52.11666667)",
"SM UC-50","Friedrich Krupp Germaniawerft",,"okręty podwodne typu UC II"
"SM UC-55","Kaiserliche Werft Gdańsk","Point(1.03333 60.0333)",
"SM UB-14","AG Weser",,"Okręty podwodne typu UBI"
"German submarine U-967",,"Point(5.91666667 43.11666667)","Okręty podwodne typu VIIC"
"U-1203",,"Point(-10.0833 55.8333)",
"U-659","Howaldtswerke-Deutsche Werft","Point(-13.33333333 43.53333333)","Okręty podwodne typu VIIC"
"U-2506",,"Point(-7.5 55.61666667)",
"U-2506",,"Point(-7.5 55.6167)",
"German submarine U-3010",,,
"German submarine U-604","Blohm + Voss","Point(-21.33333333 -4.5)","Okręty podwodne typu VIIC"
"German submarine U-737",,"Point(15.65 68.15)","Okręty podwodne typu VIIC"
"SM UB-143","AG Weser",,"Okręty podwodne typu UBIII"
"SM UB-125","AG Weser",,"Okręty podwodne typu UBIII"
"SM U-110","Friedrich Krupp Germaniawerft","Point(-8.1 54.81666667)","okręty podwodne typu  U 93"
"U-102 (1917)","AG Weser",,
"SM UB-22","Blohm + Voss","Point(6.53333333 54.66666667)","Okręty podwodne typu UBII"
"SM UB-37","Blohm + Voss","Point(1.78333333 50.11666667)","Okręty podwodne typu UBII"
"German submarine U-757","Kriegsmarinewerft Wilhelmshaven","Point(-18.05 50.55)","Okręty podwodne typu VIIC"
"SM U-91","Kaiserliche Werft Gdańsk",,
"SM U-91","Friedrich Krupp Germaniawerft",,
"SM U-126","Blohm + Voss",,
"SM U-166","Bremer Vulkan",,"okręty podwodne typu  U 93"
"German submarine U-626","Blohm + Voss","Point(-27.2 56.7667)","Okręty podwodne typu VIIC"
"German submarine U-450","Schichau-Werke","Point(12.45 41.1833)","Okręty podwodne typu VIIC"
"U-318",,"Point(-8.5 55.78333282)","German Type VIIC/41 submarine"
"German submarine U-326",,,"German Type VIIC/41 submarine"
"German submarine U-430",,,"Okręty podwodne typu VIIC"
"German submarine U-437","Schichau-Werke",,"Okręty podwodne typu VIIC"
"German submarine U-473",,"Point(-21.3667 49.4833)","Okręty podwodne typu VIIC"
"German submarine U-478",,,"Okręty podwodne typu VIIC"
"German submarine U-579","Blohm + Voss",,"Okręty podwodne typu VIIC"
"German submarine U-592","Blohm + Voss",,"Okręty podwodne typu VIIC"
"U-776",,"Point(-5.50027778 55.13444444)",
"German submarine U-711","H. C. Stülcken Sohn","Point(16.6333 68.8)","Okręty podwodne typu VIIC"
"German submarine U-1020",,,
"German submarine U-1051",,"Point(-5.38333 53.65)","Okręty podwodne typu VIIC"
"U-1103",,,
"U-2503",,"Point(11.133333333 55.15)","Okręty podwodne typu XXI"
"German submarine U-440","Schichau-Werke",,"Okręty podwodne typu VIIC"
"German submarine U-599","Blohm + Voss",,"Okręty podwodne typu VIIC"
"German submarine U-602","Blohm + Voss","Point(0.0 36.8333)","Okręty podwodne typu VIIC"
"German submarine U-621","Blohm + Voss","Point(-2.6 45.8667)","Okręty podwodne typu VIIC"
"German submarine U-632",,,
"German submarine U-624","Blohm + Voss","Point(-26.2833 55.7)","Okręty podwodne typu VIIC"
"German submarine U-633","Blohm + Voss","Point(-19.91666667 58.85)","Okręty podwodne typu VIIC"
"German submarine U-643",,,
"German submarine U-648","Blohm + Voss",,"Okręty podwodne typu VIIC"
"German submarine U-654","Howaldtswerke-Deutsche Werft","Point(-79.9333 12.0)","Okręty podwodne typu VIIC"
"German submarine U-664","Howaldtswerke-Deutsche Werft","Point(-37.483333 40.2)","Okręty podwodne typu VIIC"
"German submarine U-708","H. C. Stülcken Sohn",,"Okręty podwodne typu VIIC"
"German submarine U-707","H. C. Stülcken Sohn","Point(-20.2833 40.5167)","Okręty podwodne typu VIIC"
"German submarine U-709","H. C. Stülcken Sohn","Point(19.4333 49.1667)","Okręty podwodne typu VIIC"
"German submarine U-828",,,"German Type VIIC/41 submarine"
"German submarine U-490","Friedrich Krupp Germaniawerft","Point(-40.133333333 42.783333333)","Okręty podwodne typu XIV"
"U-1002",,,
"U-1165",,,"German Type VIIC/41 submarine"
"U-1104",,,
"German submarine U-296",,,"German Type VIIC/41 submarine"
"German submarine U-133 (1941)","Bremer Vulkan","Point(23.58333333 37.83333333)","Okręty podwodne typu VIIC"
"U-404","Danziger Werft",,"typu VII"
"U-404","Danziger Werft",,"Okręty podwodne typu VIIC"
"German submarine U-258","Bremer Vulkan",,"Okręty podwodne typu VIIC"
"SM UB-103","Blohm + Voss","Point(1.45 50.86666667)","Okręty podwodne typu UBIII"
"SM UB-109","Blohm + Voss","Point(-1.73333333 51.05)","Okręty podwodne typu UBIII"
"SM UB-110","Blohm + Voss","Point(-0.91666667 54.65)","Okręty podwodne typu UBIII"
"SM UB-116","Blohm + Voss","Point(-3.06666667 58.83333333)","Okręty podwodne typu UBIII"
"SM UB-124","AG Weser","Point(-7.85 55.71666667)","Okręty podwodne typu UBIII"
"SM UB-129","AG Weser","Point(14.43333333 45.31666667)","Okręty podwodne typu UBIII"
"SM UB-52","Blohm + Voss","Point(18.86666667 41.6)","Okręty podwodne typu UBIII"
"SM UB-53","Blohm + Voss","Point(18.66666667 39.66666667)","Okręty podwodne typu UBIII"
"SM UB-54","AG Weser","Point(0.75 53.25)","Okręty podwodne typu UBIII"
"SM UB-56","AG Weser","Point(1.35 50.96666667)","Okręty podwodne typu UBIII"
"SM UB-57","AG Weser","Point(2.03333333 51.93333333)","Okręty podwodne typu UBIII"
"SM UB-58","AG Weser","Point(1.23333333 50.96666667)","Okręty podwodne typu UBIII"
"SM UB-59","AG Weser","Point(3.2 51.31666667)","Okręty podwodne typu UBIII"
"SM UB-61","AG Vulcan Stettin","Point(4.93333333 53.33333333)","Okręty podwodne typu UBIII"
"SM UB-63","AG Vulcan Stettin","Point(2.0 56.16666667)","Okręty podwodne typu UBIII"
"SM UB-66","Friedrich Krupp Germaniawerft","Point(24.41666667 38.5)","Okręty podwodne typu UBIII"
"SM UB-69","Friedrich Krupp Germaniawerft","Point(10.63333333 37.5)","Okręty podwodne typu UBIII"
"SM UB-71","Friedrich Krupp Germaniawerft","Point(5.3 35.96666667)","Okręty podwodne typu UBIII"
"SM UB-74","AG Vulcan Stettin","Point(-2.53333333 50.53333333)","Okręty podwodne typu UBIII"
"SM UB-75","Blohm + Voss","Point(0.16666667 54.08333333)","Okręty podwodne typu UBIII"
"SM UB-78","Blohm + Voss","Point(-1.5 49.81666667)","Okręty podwodne typu UBIII"
"SM UB-82","AG Weser","Point(-5.91666667 55.21666667)","Okręty podwodne typu UBIII"
"SM UB-84","AG Weser","Point(10.18333333 54.58333333)","Okręty podwodne typu UBIII"
"SM UB-90","AG Vulcan Stettin","Point(10.45 57.91666667)","Okręty podwodne typu UBIII"
"SM UB-122","AG Weser","Point(0.63194167 51.43066944)","Okręty podwodne typu UBIII"
"German submarine U-710","H. C. Stülcken Sohn","Point(-19.8 61.41666667)","Okręty podwodne typu VIIC"
"U-751","Kriegsmarinewerft Wilhelmshaven",,"Okręty podwodne typu VIIC"
"German submarine U-168","Deutsche Schiff- und Maschinenbau","Point(111.28 -6.2)","Okręty podwodne typu IXC/40"
"German submarine U-242",,"Point(-5.76888889 52.03583333)","Okręty podwodne typu VIIC"
"German submarine U-1277",,"Point(-8.68333333 41.15)",
"Q2472159",,,"Okręty podwodne typu 206"
"U-118","Friedrich Krupp Germaniawerft","Point(-28.35 30.81666667)",
"German submarine U-544",,"Point(-37.33333333 40.5)",
"U-79","Bremer Vulkan","Point(25.31666667 32.25)","Okręty podwodne typu VIIC"
"U-119","Friedrich Krupp Germaniawerft","Point(-12.4 44.98333333)",
"U-61","Deutsche Werke",,
"German submarine U-441","Schichau-Werke","Point(-5.78333333 48.45)","Okręty podwodne typu VIIC"
"SM U-33","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu U-31"
"German submarine U-237","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu VIIC"
"German submarine U-230","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu VIIC"
"German submarine U-239","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu VIIC"
"U-244",,"Point(-8.53333333 55.76666667)","Okręty podwodne typu VIIC"
"German submarine U-543",,"Point(-21.6 25.56666667)",
"U-1163",,,"German Type VIIC/41 submarine"
"German submarine U-1200",,,"Okręty podwodne typu VIIC"
"German submarine U-236","Friedrich Krupp Germaniawerft","Point(10.05 54.61666667)","Okręty podwodne typu VIIC"
"German submarine U-777","Kriegsmarinewerft Wilhelmshaven","Point(8.16666667 53.85)","Okręty podwodne typu VIIC"
"U-1061",,,"German Type VIIF submarine"
"German submarine U-1065",,"Point(11.43333333 57.8)","German Type VIIC/41 submarine"
"SM UB-49","Blohm + Voss",,"Okręty podwodne typu UBIII"
"German submarine U-748",,,
"German submarine U-713",,,
"German submarine U-710","H. C. Stülcken Sohn","Point(-19.8 61.4167)","Okręty podwodne typu VIIC"
"German submarine U-676",,,
